Series ID,Year,Period,Label,Value
LNU04000086,2005,M06,2005 Jun,23.4
LNU04000086,2005,M07,2005 Jul,19.9
LNU04000086,2005,M08,2005 Aug,16.0
LNU04000086,2005,M09,2005 Sep,16.2
LNU04000086,2005,M10,2005 Oct,17.0
LNU04000086,2005,M11,2005 Nov,20.6
LNU04000086,2005,M12,2005 Dec,15.1
LNU04000086,2006,M01,2006 Jan,15.7
LNU04000086,2006,M02,2006 Feb,17.8
LNU04000086,2006,M03,2006 Mar,19.0
LNU04000086,2006,M04,2006 Apr,15.7
LNU04000086,2006,M05,2006 May,16.2
LNU04000086,2006,M06,2006 Jun,22.3
LNU04000086,2006,M07,2006 Jul,18.3
LNU04000086,2006,M08,2006 Aug,16.8
LNU04000086,2006,M09,2006 Sep,15.7
LNU04000086,2006,M10,2006 Oct,16.2
LNU04000086,2006,M11,2006 Nov,16.8
LNU04000086,2006,M12,2006 Dec,14.5
LNU04000086,2007,M01,2007 Jan,15.9
LNU04000086,2007,M02,2007 Feb,17.0
LNU04000086,2007,M03,2007 Mar,16.6
LNU04000086,2007,M04,2007 Apr,16.2
LNU04000086,2007,M05,2007 May,17.8
LNU04000086,2007,M06,2007 Jun,21.7
LNU04000086,2007,M07,2007 Jul,17.8
LNU04000086,2007,M08,2007 Aug,16.5
LNU04000086,2007,M09,2007 Sep,16.8
LNU04000086,2007,M10,2007 Oct,15.9
LNU04000086,2007,M11,2007 Nov,19.0
LNU04000086,2007,M12,2007 Dec,17.4
LNU04000086,2008,M01,2008 Jan,20.0
LNU04000086,2008,M02,2008 Feb,18.5
LNU04000086,2008,M03,2008 Mar,18.8
LNU04000086,2008,M04,2008 Apr,19.4
LNU04000086,2008,M05,2008 May,22.5
LNU04000086,2008,M06,2008 Jun,29.8
LNU04000086,2008,M07,2008 Jul,26.3
LNU04000086,2008,M08,2008 Aug,19.8
LNU04000086,2008,M09,2008 Sep,19.3
LNU04000086,2008,M10,2008 Oct,21.3
LNU04000086,2008,M11,2008 Nov,24.0
LNU04000086,2008,M12,2008 Dec,21.5
LNU04000086,2009,M01,2009 Jan,20.8
LNU04000086,2009,M02,2009 Feb,22.8
LNU04000086,2009,M03,2009 Mar,23.6
LNU04000086,2009,M04,2009 Apr,21.8
LNU04000086,2009,M05,2009 May,24.2
LNU04000086,2009,M06,2009 Jun,32.1
LNU04000086,2009,M07,2009 Jul,27.5
LNU04000086,2009,M08,2009 Aug,24.1
LNU04000086,2009,M09,2009 Sep,26.2
LNU04000086,2009,M10,2009 Oct,28.5
LNU04000086,2009,M11,2009 Nov,29.5
LNU04000086,2009,M12,2009 Dec,27.4
LNU04000086,2010,M01,2010 Jan,26.8
LNU04000086,2010,M02,2010 Feb,27.4
LNU04000086,2010,M03,2010 Mar,29.2
LNU04000086,2010,M04,2010 Apr,27.3
LNU04000086,2010,M05,2010 May,30.2
LNU04000086,2010,M06,2010 Jun,35.8
LNU04000086,2010,M07,2010 Jul,32.2
LNU04000086,2010,M08,2010 Aug,28.7
LNU04000086,2010,M09,2010 Sep,28.5
LNU04000086,2010,M10,2010 Oct,29.5
LNU04000086,2010,M11,2010 Nov,25.3
LNU04000086,2010,M12,2010 Dec,25.0
LNU04000086,2011,M01,2011 Jan,26.5
LNU04000086,2011,M02,2011 Feb,27.9
